id	state
10	Delaware Amateur Radio Repeaters
11	District of Columbia Amateur Radio Repeaters
12	Florida Amateur Radio Repeaters
13	Georgia Amateur Radio Repeaters
15	Hawaii Amateur Radio Repeaters
16	Idaho Amateur Radio Repeaters
17	Illinois Amateur Radio Repeaters
18	Indiana Amateur Radio Repeaters
19	Iowa Amateur Radio Repeaters
20	Kansas Amateur Radio Repeaters
21	Kentucky Amateur Radio Repeaters
22	Louisiana Amateur Radio Repeaters
23	Maine Amateur Radio Repeaters
24	Maryland Amateur Radio Repeaters
25	Massachusetts Amateur Radio Repeaters
26	Michigan Amateur Radio Repeaters
27	Minnesota Amateur Radio Repeaters
28	Mississippi Amateur Radio Repeaters
29	Missouri Amateur Radio Repeaters
30	Montana Amateur Radio Repeaters
31	Nebraska Amateur Radio Repeaters
32	Nevada Amateur Radio Repeaters
33	New Hampshire Amateur Radio Repeaters
34	New Jersey Amateur Radio Repeaters
35	New Mexico Amateur Radio Repeaters
36	New York Amateur Radio Repeaters
37	North Carolina Amateur Radio Repeaters
38	North Dakota Amateur Radio Repeaters
39	Ohio Amateur Radio Repeaters
40	Oklahoma Amateur Radio Repeaters
41	Oregon Amateur Radio Repeaters
42	Pennsylvania Amateur Radio Repeaters
44	Rhode Island Amateur Radio Repeaters
45	South Carolina Amateur Radio Repeaters
46	South Dakota Amateur Radio Repeaters
47	Tennessee Amateur Radio Repeaters
48	Texas Amateur Radio Repeaters
49	Utah Amateur Radio Repeaters
50	Vermont Amateur Radio Repeaters
51	Virginia Amateur Radio Repeaters
53	Washington Amateur Radio Repeaters
54	West Virginia Amateur Radio Repeaters
55	Wisconsin Amateur Radio Repeaters
56	Wyoming Amateur Radio Repeaters
66	Guam Amateur Radio Repeaters
72	Puerto Rico Amateur Radio Repeaters
78	Virgin Islands Amateur Radio Repeaters
